#,FORM,LEMMA,GRAM,COMMENT,CHECKED,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,AUTO_GRAM
#doc=reaction_on_mv_ice_cream_cake.2.txt,,,,,,,,,,,,,,,
1,﻿,﻿,PUNC,,,,,,,,,PUNC,﻿,PUNC,
2,Саша,САША,S - anim nom sg persn ,,,а,ш,а,с,,,S,САША,S - anim nom sg,
3,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
4,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
5,включаю,ВКЛЮЧАТЬ,V ipf praes sg indic act tran 1p,,,ю,а,ч,ю,л,к,V,ВКЛЮЧАТЬ,V ipf praes sg indic - 1p,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg persn,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,вижу,ВИДЕТЬ,V ipf praes sg indic act tran 1p,,,у,ж,и,в,,,V,ВИДЕТЬ,V ipf praes sg indic - 1p,
5,тортик,ТОРТИК,S m inan acc sg,,,к,и,т,р,о,т,S,ТОРТИК,S m inan acc sg,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg persn ,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,хочу,ХОТЕТЬ,V ipf praes sg indic - 1p,,,у,ч,о,х,,,V,ХОТЕТЬ,V ipf praes sg indic - 1p,
5,есть,ЕСТЬ,V ipf - - inf - -,,,ь,т,с,е,,,V,ЕСТЬ,V ipf - - inf - -,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg persn,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,хочу,ХОТЕТЬ,V ipf praes sg indic - 1p,,,у,ч,о,х,,,V,ХОТЕТЬ,V ipf praes sg indic - 1p,
5,есть,ЕСТЬ,V ipf - - inf - -,,,ь,т,с,е,,,V,ЕСТЬ,V ipf - - inf - -,
6,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
7,хотя,ХОТЯ,CONJ,,,я,т,о,х,,,CONJ,ХОТЯ,CONJ,
8,мы,МЫ,SPRO pl 1p - nom,,,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,
9,только,ТОЛЬКО,PART,,,о,к,ь,л,о,т,PART,ТОЛЬКО,PART,
10,что,ЧТО,CONJ,,,о,т,ч,,,,CONJ,ЧТО,CONJ,
11,ели,ЕСТЬ,V ipf praet pl indic - -,,,и,л,е,,,,V,ЕСТЬ,V ipf praet pl indic - -,
12,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg persn,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Мне,Я,SPRO sg 1p - dat,,,е,н,м,,,,SPRO,Я,SPRO sg 1p - loc,
4,нравится,НРАВИТЬСЯ,V ipf praes sg indic med tran 3p,,,я,с,т,и,в,а,V,НРАВИТЬСЯ,V ipf praes sg indic - 3p,
5,мелодия,МЕЛОДИЯ,S f inan nom sg,,,я,и,д,о,л,е,S,МЕЛОДИЯ,S f inan nom sg,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Позитивная,ПОЗИТИВНЫЙ,A sg plen f nom,,,я,а,н,в,и,т,A,ПОЗИТИВНЫЙ,A comp2 - - plen - -,
2,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg persn ,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Да,ДА,CONJ,,,а,д,,,,,CONJ,ДА,CONJ,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,она,ОНА,SPRO sg 3p f nom,,,а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,
6,классная,КЛАССНЫЙ,A - nom sg plen f -,,,я,а,н,с,с,а,A,КЛАССНЫЙ,A - nom sg plen f -,
7,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg persn ,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Почему,ПОЧЕМУ,ADV -,,,у,м,е,ч,о,п,ADV,ПОЧЕМУ,ADV -,
4,они,ОНИ,SPRO pl - - nom,,,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,
5,все,ВЕСЬ,SPRO nom sg ,,,е,с,в,,,,A,ВЕСЬ,A - nom pl plen - -,
6,такие,ТАКОЙ,A - nom pl plen - -,,,е,и,к,а,т,,A,ТАКОЙ,A - nom pl plen - -,
7,красивые,КРАСИВЫЙ,A - nom pl plen - -,,,е,ы,в,и,с,а,A,КРАСИВЫЙ,A - nom pl plen - -,
8,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg persn,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Они,ОНИ,SPRO pl - - nom,,,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,
4,очень,ОЧЕНЬ,ADV -,,,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,
5,худые,ХУДОЙ,A - acc pl plen - inan,,,е,ы,д,у,х,,A,ХУДОЙ,A - acc pl plen - inan,
6,все,ВСЕ,S - - nom l,,,е,с,в,,,,S,ВСЕ,S - - acc pl,
7,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,И,И,CONJ,,,и,,,,,,CONJ,И,CONJ,
2,красивые,КРАСИВЫЙ,A - nom pl plen - -,,,е,ы,в,и,с,а,A,КРАСИВЫЙ,A - nom pl plen - -,
3,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg persn ,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Так,ТАК,ADV -,,,к,а,т,,,,ADV,ТАК,ADV -,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,О,О,PR,,,о,,,,,,PR,О,PR,
2,чем,ЧТО,SPRO loc sg,,,м,е,ч,,,,S,ЧТО,S n inan loc sg,
3,это,ЭТО,SPRO nom sg ,,,о,т,э,,,,S,ЭТО,S n - nom sg,
4,вообще,ВООБЩЕ,ADV -,,,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,
5,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg persn,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Ну,НУ,PART,,,у,н,,,,,PART,НУ,PART,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,они,ОНИ,SPRO pl - - nom,,,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,
6,куда-то,КУДА-ТО,ADV -,,,о,т,,а,д,у,ADV,КУДА-ТО,ADV -,
7,собираются,СОБИРАТЬСЯ,V ipf praes pl indic act intr 3p,,,я,с,т,ю,а,р,V,СОБИРАТЬСЯ,V ipf praes pl indic - 3p,
8,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg persn ,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,М,М,INTJ,,,м,,,,,,S,М,S - - nonflex nonflex,
4,-,-,PUNC,,,,,,,,,PUNC,-,PUNC,
5,м,М,INTJ,,,м,,,,,,S,М,S - - nonflex nonflex,
6,-,-,PUNC,,,,,,,,,PUNC,-,PUNC,
7,м,М,INTJ,,,м,,,,,,S,М,S - - nonflex nonflex,
8,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
9,классика,КЛАССИКА,S f inan nom sg,,,а,к,и,с,с,а,S,КЛАССИКА,S f inan nom sg,
10,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg persn,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Да,ДА,PART,,,а,д,,,,,PART,ДА,PART,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Ну,НУ,PART,,,у,н,,,,,PART,НУ,PART,
4,ладно,ЛАДНО,INTJ,,,о,н,д,а,л,,PART,ЛАДНО,PART,
5,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Зато,ЗАТО,CONJ,,,о,т,а,з,,,CONJ,ЗАТО,CONJ,
2,снято,СНЯТЬ,V sg n partcp pass brev,,,о,т,я,н,с,,PARTCP,СНЯТЬ,PARTCP pf praet - sg brev n pass -,
3,прикольно,ПРИКОЛЬНО,ADV -,,,о,н,ь,л,о,к,ADV,ПРИКОЛЬНО,ADV -,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Куда-то,КУДА-ТО,ADVPRO,,,о,т,,а,д,у,ADV,КУДА-ТО,ADV -,
4,едут,ЕХАТЬ,V ipf praes pl indic act intr 3p,,,т,у,д,е,,,V,ЕХАТЬ,V ipf praes pl indic - 3p,
5,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Почему,ПОЧЕМУ,ADVPRO,,,у,м,е,ч,о,п,ADV,ПОЧЕМУ,ADV -,
4,они,ОНИ,SPRO pl - - nom,,,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,
5,на,НА,PR,,,а,н,,,,,PR,НА,PR,
6,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
7,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
8,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
9,[,[,PUNC,,,,,,,,,PUNC,[,PUNC,
10,нрзб,НРЗБ,NONLEX,,,б,з,р,н,,,NONLEX,НРЗБ,NONLEX,
11,],],PUNC,,,,,,,,,PUNC,],PUNC,
12,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
13,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
14,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
15,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
16,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Ага,АГА,PART,,,а,г,а,,,,PART,АГА,PART,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Это,ЭТО,SPRO nom sg ,,,о,т,э,,,,S,ЭТО,S n - nom sg,
4,заправка,ЗАПРАВКА,S f inan nom sg,,,а,к,в,а,р,п,S,ЗАПРАВКА,S f inan nom sg,
5,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Какой,КАКОЙ,APRO - nom sg plen m -,,,й,о,к,а,к,,A,КАКОЙ,A - nom sg plen m -,
4,корейский,КОРЕЙСКИЙ,A - acc sg plen m inan,,,й,и,к,с,й,е,A,КОРЕЙСКИЙ,A - acc sg plen m inan,
5,клип,КЛИП,S m inan nom sg,,,п,и,л,к,,,S,КЛИП,S m inan acc sg,
6,без,БЕЗ,PR,,,з,е,б,,,,PR,БЕЗ,PR,
7,танцев,ТАНЕЦ,S m inan gen pl,,,в,е,ц,н,а,т,S,ТАНЕЦ,S m inan gen pl,
8,?,?,SENT,,,,,,,,,SENT,?,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Ну,НУ,PART,,,у,н,,,,,PART,НУ,PART,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,они,ОНИ,SPRO pl - - nom,,,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,
6,делают,ДЕЛАТЬ,V ipf praes pl indic act tran 3p,,,т,ю,а,л,е,д,V,ДЕЛАТЬ,V ipf praes pl indic - 3p,
7,их,ОНИ,SPRO pl - - acc,,,х,и,,,,,SPRO,ОНИ,SPRO pl - - acc,
8,все,ВСЕ,S - - acc pl,"не понимаю, как это классифицируется в принципе",,е,с,в,,,,S,ВСЕ,S - - acc pl,
9,лучше,ХОРОШИЙ,A comp - - plen - -,,,е,ш,ч,у,л,,A,ХОРОШИЙ,A comp - - plen - -,
10,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИРА,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Синхронно,СИНХРОННО,ADV -,,,о,н,н,о,р,х,ADV,СИНХРОННО,ADV -,
4,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
5,классно,КЛАССНО,ADV -,,,о,н,с,с,а,л,ADV,КЛАССНО,ADV -,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Эх,ЭХ,INTJ,,,х,э,,,,,INTJ,ЭХ,INTJ,
4,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Позитивно,ПОЗИТИВНО,ADV -,,,о,н,в,и,т,и,ADV,ПОЗИТИВНО,ADV -,
4,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
4,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
5,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
6,[,[,PUNC,,,,,,,,,PUNC,[,PUNC,
7,нрзб,НРЗБ,NONLEX,,,б,з,р,н,,,NONLEX,НРЗБ,NONLEX,
8,],],PUNC,,,,,,,,,PUNC,],PUNC,
9,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
10,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
11,noindex,NOINDEX,NONLEX,,,,,,,,,NONLEX,NOINDEX,NONLEX,
12,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
13,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
14,блииин,БЛИИИН,INTJ,,,н,и,и,и,л,б,S,БЛИИИН,S f inan nom sg,
15,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Когда,КОГДА,CONJ,,,а,д,г,о,к,,CONJ,КОГДА,CONJ,
4,смотришь,СМОТРЕТЬ,V ipf praes sg indic tran act 2p,,,ь,ш,и,р,т,о,V,СМОТРЕТЬ,V ipf praes sg indic - 2p,
5,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
6,хочется,ХОТЕТЬСЯ,V ipf praes - indic intr med,,,я,с,т,е,ч,о,V,ХОТЕТЬСЯ,V ipf praes - indic - -,
7,танцевать,ТАНЦЕВАТЬ,V ipf - - inf intr act,,,ь,т,а,в,е,ц,V,ТАНЦЕВАТЬ,V ipf - - inf - -,
8,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Так,ТАК,ADV -,,,к,а,т,,,,ADV,ТАК,ADV -,
4,красиво,КРАСИВО,ADV -,,,о,в,и,с,а,р,ADV,КРАСИВО,ADV -,
5,снято,СНЯТОЙ,V sg n partcp pass brev,,,о,т,я,н,с,,A,СНЯТОЙ,A - - sg brev n -,
6,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,I,I,NUM - - -,,,,,,,,,NUM,I,NUM - - -,
4,scream,SCREAM,NONLEX,,,,,,,,,NONLEX,SCREAM,NONLEX,
5,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
6,you,YOU,NONLEX,,,,,,,,,NONLEX,YOU,NONLEX,
7,scream,SCREAM,NONLEX,,,,,,,,,NONLEX,SCREAM,NONLEX,
8,...,...,SENT,,,,,,,,,SENT,...,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S m inan gen sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Это,ЭТО,SPRO nom sg ,,,о,т,э,,,,S,ЭТО,S n - nom sg,
4,прикольно,ПРИКОЛЬНО,ADV -,,,о,н,ь,л,о,к,ADV,ПРИКОЛЬНО,ADV -,
5,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Это,ЭТО,S n - nom sg,,,о,т,э,,,,S,ЭТО,S n - nom sg,
4,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
5,distinct,DISTINCT,NONLEX,,,,,,,,,NONLEX,DISTINCT,NONLEX,
6,form,FORM,NONLEX,,,,,,,,,NONLEX,FORM,NONLEX,
7,=,=,PUNC,,,,,,,,,PUNC,=,PUNC,
8,	,_,,,,,,,,,,,_,9,
9,прям,ПРЯМО,ADV -,distort,,м,я,р,п,,,A,ПРЯМОЙ,A - - sg brev m -,
10,	,_,,,,,,,,,,,_,11,
11,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
12,прямо,ПРЯМО,ADV -,,,о,м,я,р,п,,ADV,ПРЯМО,ADV -,
13,<,<,PUNC,,,,,,,,,PUNC,<,PUNC,
14,/,/,PUNC,,,,,,,,,PUNC,/,PUNC,
15,distinct,DISTINCT,NONLEX,,,,,,,,,NONLEX,DISTINCT,NONLEX,
16,>,>,PUNC,,,,,,,,,PUNC,>,PUNC,
17,как,КАК,CONJ,,,к,а,к,,,,CONJ,КАК,CONJ,
18,в,В,PR,,,в,,,,,,PR,В,PR,
19,караоке,КАРАОКЕ,S f inan loc -,,,е,к,о,а,р,а,S,КАРАОКЕ,S f inan nonflex nonflex,
20,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Мира,МИРА,S f anim nom sg,,,а,р,и,м,,,S,МИР,S f anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Я,Я,SPRO sg 1p - nom,,,я,,,,,,SPRO,Я,SPRO sg 1p - nom,
4,вообще,ВООБЩЕ,ADV -,,,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,
5,не,НЕ,PART,,,е,н,,,,,PART,НЕ,PART,
6,очень,ОЧЕНЬ,ADV -,,,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,
7,понимаю,ПОНИМАТЬ,V ipf praes sg indic tran act 1p,,,ю,а,м,и,н,о,V,ПОНИМАТЬ,V ipf praes sg indic - 1p,
8,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
9,что,ЧТО,CONJ,,,о,т,ч,,,,CONJ,ЧТО,CONJ,
10,происходит,ПРОИСХОДИТЬ,V ipf praes sg indic intr 3p,,,т,и,д,о,х,с,V,ПРОИСХОДИТЬ,V ipf praes sg indic - 3p,
11,в,В,PR,,,в,,,,,,PR,В,PR,
12,клипе,КЛИП,S m inan loc sg,,,е,п,и,л,к,,S,КЛИП,S m inan loc sg,
13,",",",",PUNC,,,,,,,,,PUNC,",",PUNC,
14,потому что,потому что,CONJ,,,о,т,ч, ,у,м,ZERO,потому что,ZERO,
15,тут,ТУТ,ADV -,,,т,у,т,,,,ADV,ТУТ,ADV -,
16,так,ТАК,ADV -,,,к,а,т,,,,ADV,ТАК,ADV -,
17,резко,РЕЗКО,ADV -,,,о,к,з,е,р,,ADV,РЕЗКО,ADV -,
18,переходят,ПЕРЕХОДИТЬ,V ipf praes pl indic tran act 3p,,,т,я,д,о,х,е,V,ПЕРЕХОДИТЬ,V ipf praes pl indic - 3p,
19,с,С,PR,,,с,,,,,,PR,С,PR,
20,одного,ОДИН,A - gen sg plen m -,,,о,г,о,н,д,о,A,ОДИН,A - gen sg plen m -,
21,на,НА,PR,,,а,н,,,,,PR,НА,PR,
22,другое,ДРУГОЙ,A - acc sg plen n inan,,,е,о,г,у,р,д,A,ДРУГОЙ,A - acc sg plen n inan,
23,.,.,SENT,,,,,,,,,SENT,.,SENT,
,,,,,,,,,,,,,,,
1,Саша,САША,S - anim nom sg,,,а,ш,а,с,,,S,САША,S - anim nom sg,
2,@,@,PUNC,,,,,,,,,PUNC,@,PUNC,
3,Не...,НЕ...,PART,,,,,,е,н,,PART,НЕ...,PART,
4,не...,НЕ...,PART,,,,,,е,н,,PART,НЕ...,PART,
5,неважно,НЕВАЖНО,ADV -,,,о,н,ж,а,в,е,ADV,НЕВАЖНО,ADV -,
